Part,Chapter,Section,Paragraph,Update Status,Title,Links to MPEP,Links to 35USC,Links to 37CFR,Links to Cases and Actions
MPEP,0800,801,,,Introduction [R-07.2015],,,,
MPEP,0800,802,,,Basis for Restriction Practice in Statute and Rules [R-07.2015],,,,
MPEP,0800,,p1,,,,pre-AIA 35 U.S.C. 121; ,,
MPEP,0800,,p2,,,,,,
MPEP,0800,,p1,,,,35 U.S.C. 121; ,,
MPEP,0800,,p2,,,,,,
MPEP,0800,802.01,,,"Meaning of ""Independent"" and ""Distinct"" [R-08.2012]",,,,
MPEP,0800,802.01(I),,,INDEPENDENT,,,,
MPEP,0800,802.01(I),p1,,,,,,
MPEP,0800,802.01(II),,,RELATED BUT DISTINCT,,,,
MPEP,0800,802.01(II),p1,,,,,,
MPEP,0800,802.01(II),p2,,,,,,
MPEP,0800,802.01(II),p3,,,,,,
MPEP,0800,802.02,,,Definition of Restriction [R-08.2012],,,,
MPEP,0800,803,,,Restriction — When Proper [R-08.2017],,,,
MPEP,0800,803(I),,,CRITERIA FOR RESTRICTION BETWEEN PATENTABLY DISTINCT INVENTIONS,,,,
MPEP,0800,803(I),p1,,,,,,
MPEP,0800,803(II),,,GUIDELINES,,,,
MPEP,0800,803(II),p1,,,,,,
MPEP,0800,803(II),p2,,,,,,
MPEP,0800,803(II),p3,,,,35 U.S.C. 103; ,,"In re Lee, 199 USPQ 108 (Comm’r Pat. 1978); "
MPEP,0800,803(II),p4,,,,,,
MPEP,0800,803.01,,,Review by Examiner with at Least Partial Signatory Authority [R-07.2015],,,,
MPEP,0800,803.02,,,,,,,
MPEP,0800,803.02(I),,,MARKUSH CLAIMS,,,,
MPEP,0800,803.02(I),p1,,,,,,"In re Harnisch, 631 F.2d 716, 719-20, 206 USPQ 300, 303 (CCPA 1980); "
MPEP,0800,803.02(I),p2,,,,,,
MPEP,0800,803.02(I),p3,,,,35 U.S.C. 112(b); ,,
MPEP,0800,803.02(II),,,PROPER MARKUSH GROUPING,,,,
MPEP,0800,803.02(II),p1,,,,35 U.S.C. 112; ,,"In re Harnisch, 631 F.2d 716, 721-22, 206 USPQ 300, 305 (CCPA 1980)); "
MPEP,0800,803.02(II),p2,,,,,,
MPEP,0800,803.02(II),p3,,,,,,
MPEP,0800,803.02(II),p4,,,,,,
MPEP,0800,803.02(III),,,ELECTION OF SPECIES PRACTICE FOR MARKUSH CLAIMS,,,,
MPEP,0800,803.02(III)(A),,,Overview,,,,
MPEP,0800,803.02(III)(A),p1,,,,35 U.S.C. 103; ,,
MPEP,0800,803.02(III)(A),p2,,,,,,
MPEP,0800,803.02(III)(A),p3,,,,,,
MPEP,0800,803.02(III)(A),p4,,,,,,
MPEP,0800,803.02(III)(A),p5,,,,,,
MPEP,0800,803.02(III)(A),p6,,,,,,
MPEP,0800,803.02(III)(A),p7,,,,,37 CFR 1.97(c); 37 CFR 1.17(p); 37 CFR 1.116; ,
MPEP,0800,803.02(III)(B),,,Provisional Election of Species,,,,
MPEP,0800,803.02(III)(B),p1,,,,35 U.S.C. 112(a); ,,
MPEP,0800,803.02(III)(B),p2,,,,,,
MPEP,0800,803.02(III)(B),p3,,,,,,
MPEP,0800,803.02(III)(C),,,Initial Examination of Elected Species,,,,
MPEP,0800,803.02(III)(C)(1),,,Rejection of Claims to Elected Species,,,,
MPEP,0800,803.02(III)(C)(1),p1,,,,,,
MPEP,0800,803.02(III)(C)(1),p2,,,,,,
MPEP,0800,803.02(III)(C)(2),,,Elected Species in Proper Markush Grouping Allowable over the Prior Art,,,,
MPEP,0800,803.02(III)(C)(2),p1,,,,35 U.S.C. 101; ,,
MPEP,0800,803.02(III)(C)(2),p2,,,,35 U.S.C. 121; ,,
MPEP,0800,803.02(III)(C)(2),p3,,,,35 U.S.C. 101; ,,
MPEP,0800,803.02(III)(D),,,Final Rejection; Finality of Election Requirement,,,,
MPEP,0800,803.02(III)(D),p1,,,,35 U.S.C. 121; 35 U.S.C. 120; ,37 CFR 1.116; 37 CFR 1.144; ,
MPEP,0800,803.02(III)(D),p2,,,,,,
MPEP,0800,803.03,,,Transitional Applications [R-08.2012],,,,
MPEP,0800,,,,PRACTICE RE TRANSITIONAL APPLICATION,,,,
MPEP,0800,803.03,,,Transitional Restriction or Election of Species Requirement – pre-GATT Filing,,,,
MPEP,0800,803.03(a),,,Transitional Application — Linking Claim Allowable [R-08.2012],,,,
MPEP,0800,803.03(b),,,Transitional Application — Generic Claim Allowable [R-08.2012],,,,
MPEP,0800,803.04,,,Nucleotide Sequences [R-07.2015],,,,
MPEP,0800,803.05,,,Reissue Application Practice [R-07.2015],,,,
MPEP,0800,804,,,Definition of Double Patenting [R-08.2017],,,,
MPEP,0800,,p1,,,,,,
