Part,Chapter,Section,Paragraph,Update Status,Title,Links to MPEP,Links to 35USC,Links to 37CFR,Links to Cases and Actions
MPEP,2700,2701,,,Patent Term [R-07.2015],,,,
MPEP,2700,2701(I),,,CONTINUING APPLICATIONS,,,,
MPEP,2700,2701(I),p1,,,,35 U.S.C. 120; ,,
MPEP,2700,2701(II),,,INTERNATIONAL APPLICATIONS,,,,
MPEP,2700,2701(II),p1,,,,35 U.S.C. 371; 35 U.S.C. 365(c); 35 U.S.C. 363; ,,
MPEP,2700,2701(III),,,FOREIGN PRIORITY,,,,
MPEP,2700,2701(III),p1,,,,35 U.S.C. 119(a); 35 U.S.C. 365(a); ,,
MPEP,2700,2701(IV),,,DOMESTIC BENEFIT UNDER 35 U.S.C. 119(e),,,,
MPEP,2700,2701(IV),p1,,,,35 U.S.C. 119(e); 35 U.S.C. 154(a)(3); ,,
MPEP,2700,2701(V),,,EXPIRATION DATE OF PATENTS WITH TERMINAL DISCLAIMERS,,,,
MPEP,2700,2701(V),p1,,,,35 U.S.C. 154; 35 U.S.C. 154(c); 35 U.S.C. 156; ,37 CFR 1.323; ,
MPEP,2700,2701(V),p2,,,,,,
MPEP,2700,2701(VI),,,PATENT TERM EXTENSIONS OR ADJUSTMENTS,,,,
MPEP,2700,2701(VI),p1,,,,35 U.S.C. 154; ,,
MPEP,2700,2701(VI),p2,,,,35 U.S.C. 156; 35 U.S.C. 154; ,,
MPEP,2700,2702-2709,,,[Reserved],,,,
MPEP,2700,2710,,,Term Extensions or Adjustments for Delays Within the USPTO Under 35 U.S.C. 154 [R-07.2015],,,,
MPEP,2700,2711-2719,,,[Reserved],,,,
MPEP,2700,2720,,,"Applications Filed Between June 8, 1995, and May 28, 2000 [R-08.2017]",,,,
MPEP,2700,,p1,,,,,,
MPEP,2700,2721-2729,,,[Reserved],,,,
MPEP,2700,2730,,,"Applications Filed on or After May 29, 2000; Grounds for Adjustment [R-07.2015]",,,,
MPEP,2700,,p1,,,,,,
MPEP,2700,2731,,,Period of Adjustment [R-07.2015],,,,
MPEP,2700,2732,,,Reduction of Period of Adjustment of Patent Term [R-07.2015],,,,
MPEP,2700,2733,,,Patent Term Adjustment Determination [R-08.2017],,,,
MPEP,2700,2734,,,Application for Patent Term Adjustment; Due Care Showing [R-07.2015],,,,
MPEP,2700,2734(I),,,OFFICE PROCEDURE FOR THE TREATMENT OF REQUESTS FOR RECONSIDERATION OF PATENT TERM ADJUSTMENT,,,,
MPEP,2700,2734(I),p1,,,,,37 CFR 1.705(b); 37 CFR 1.18(e); 37 CFR 1.705(b)(2); 37 CFR 1.702; 37 CFR 1.703(a); 37 CFR 1.703(f); 37 CFR 1.704; 37 CFR 1.136; ,
MPEP,2700,2734(I),p2,,,,35 U.S.C. 154(b); ,37 CFR 1.705; ,
MPEP,2700,2734(I),p3,,,,35 U.S.C. 154(b)(4); ,,
MPEP,2700,2734(I),p4,,,,35 U.S.C. 154(b)(4); ,37 CFR 1.18(e); 37 CFR 1.136(a); ,
MPEP,2700,2734(I),p5,,,,35 U.S.C. 154(b)(4); ,37 CFR 1.136(a); ,
MPEP,2700,2734(I),p6,,,,35 U.S.C. 154(b)(4); ,,
MPEP,2700,2734(I),p7,,,,35 U.S.C. 154(b)(4); ,,
MPEP,2700,2734(I),p8,,,,35 U.S.C. 154(b)(4); 35 U.S.C. 154(b)(3); ,37 CFR 1.705(b); ,
MPEP,2700,2734(I),p9,,,,35 U.S.C. 154(b)(4); 35 U.S.C. 154(b)(4)(A); 35 U.S.C. 154(b)(3); ,,
MPEP,2700,2734(II),,,DUE CARE SHOWING,,,,
MPEP,2700,2734(II),p1,,,,35 U.S.C. 154(b)(3)(C); ,37 CFR 1.705(c); 37 CFR 1.704(b); 37 CFR 1.18(f); 37 CFR 1.705(b); ,
MPEP,2700,2734(II),p2,,,,35 U.S.C. 154(b)(2)(C); 35 U.S.C. 154(b)(3)(C); ,37 CFR 1.705(c); 37 CFR 1.705(b); 37 CFR 1.136(a); ,
MPEP,2700,2734(II),p3,,,,35 U.S.C. 154(b)(2)(C); ,37 CFR 1.704(b); 37 CFR 1.705(c); ,
MPEP,2700,2734(II),p4,,,,35 U.S.C. 154(b)(2)(C); 35 U.S.C. 154(b)(3)(C); 35 U.S.C. 133; 35 U.S.C. 154(b)(2)(C)(i); ,,"In re Mattullath, 38 App. D.C. 497, 514-15 (1912); "
MPEP,2700,,p1,,,,,,
MPEP,2700,2734(III),,,"OPTIONAL PROCEDURE FOR SEEKING A PATENT TERM ADJUSTMENT CALCULATION FOR INTERNATIONAL APPLICATIONS THAT ISSUE BETWEEN JANUARY 14, 2013 AND MAY 13, 2014",,,,
MPEP,2700,2734(III),p1,,,,35 U.S.C. 371; 35 U.S.C. 154(b)(1)(B); ,,
MPEP,2700,2734(III),p2,,,,35 U.S.C. 154(b); 35 U.S.C. 371; 35 U.S.C. 111(a); ,37 CFR 1.705(b); ,
MPEP,2700,2734(III),p3,,,,,,
