Part,Chapter,Section,Paragraph,Update Status,Title,Links to MPEP,Links to 35USC,Links to 37CFR,Links to Cases and Actions
MPEP,2200,2201,,,Introduction [R-07.2015],,,,
MPEP,2200,2202,,,Citation of Prior Art and Written Statements [R-08.2017],,,,
MPEP,2200,2203,,,Persons Who May Cite Prior Art or Written Statements [R-07.2015],,,,
MPEP,2200,2204,,,Time for Filing Prior Art or Section 301 Written Statements [R-07.2015],,,,
MPEP,2200,2205,,,Content of Prior Art or Section 301 Written Statements [R-07.2015],,,,
MPEP,2200,2206,,,Submission and Handling of Prior Art or Section 301 Written Statements [R-08.2017],,,,
MPEP,2200,2206(I),,,SUBMISSION QUALIFIES FOR ENTRY UNDER 37 CFR 1.501,,,,
MPEP,2200,2206(I)(A),,,Submission by Third Party,,,,
MPEP,2200,2206(I)(A)(1),,,Prior to Order in Any Pending Reexamination Proceeding,,,,
MPEP,2200,2206(I)(A)(1),p1,,,,,37 CFR 1.501; ,
MPEP,2200,2206(I)(A)(2),,,After the Order in Any Pending Reexamination Proceeding,,,,
MPEP,2200,2206(I)(A)(2),p1,,,,,37 CFR 1.501; 37 CFR 1.550(f); 37 CFR 1.555; ,
MPEP,2200,2206(I)(B),,,Submission Filed by Patent Owner,,,,
MPEP,2200,2206(I)(B),p1,,,,,37 CFR 1.501; ,
MPEP,2200,2206(I)(B),p2,,,,,,
MPEP,2200,2206(II),,,SUBMISSION DOES NOT QUALIFY FOR ENTRY UNDER 37 CFR 1.501,,,,
MPEP,2200,2206(II)(A),,,Submission by Third Party,,,,
MPEP,2200,2206(II)(A),p1,,,,,37 CFR 1.501; ,
MPEP,2200,2206(II)(A),p2,,,,,,
MPEP,2200,2206(II)(A)(1),,,Service of Copy Included,,,,
MPEP,2200,2206(II)(A)(1),p1,,,,,,
MPEP,2200,2206(II)(A)(2),,,Service of Copy Not Included; Identity of Third Party Sender Known,,,,
MPEP,2200,2206(II)(A)(2),p1,,,,,,
MPEP,2200,2206(II)(A)(3),,,Service of Copy Not Included; Identity of Third Party Sender Not Known,,,,
MPEP,2200,2206(II)(A)(3),p1,,,,,,
MPEP,2200,2206(II)(B),,,Citation Filed by the Patent Owner,,,,
MPEP,2200,2206(II)(B),p1,,,,,37 CFR 1.501; ,
MPEP,2200,2206(II)(B),p2,,,,,37 CFR 1.555; 37 CFR 1.933; ,
MPEP,2200,2207,,,Entry of Court Decision in Patent File [R-07.2015],,,,
MPEP,2200,2208,,,Service of Prior Art or Section 301 Written Statements on Patent Owner [R-08.2017],,,,
MPEP,2200,2209,,,,,,,
MPEP,2200,2210,,,Request for,,,,
MPEP,2200,,p1,,,,,,
MPEP,2200,2211,,,Time for Requesting,,,,
MPEP,2200,2212,,,Persons Who May File a Request for,,,,
MPEP,2200,2212.01,,,Inquiries from Persons Other Than the Patent Owner [R-11.2013],,,,
MPEP,2200,2213,,,Representative of Requester [R-07.2015],,,,
MPEP,2200,2214,,,Content of Request for,,,,
MPEP,2200,2215,,,Fee for Requesting,,,,
MPEP,2200,2216,,,Substantial New Question of Patentability [R-07.2015],,,,
MPEP,2200,2217,,,Statement Applying Prior Art in a Request Filed under 35 U.S.C. 302 [R-07.2015],,,,
MPEP,2200,2217(I),,,EXPLANATION MUST BE COMPLETE,,,,
MPEP,2200,2217(I),p1,,,,,37 CFR 1.510(b)(2); ,
MPEP,2200,2217(I),p2,,,,,,
MPEP,2200,2217(I),p3,,,,,,
MPEP,2200,2217(I),p4,,,,,,
MPEP,2200,2217(II),,,AFFIDAVITS/DECLARATIONS/OTHER WRITTEN EVIDENCE,,,,
MPEP,2200,2217(II),p1,,,,,,
MPEP,2200,2217(III),,,ADMISSIONS,,,,
MPEP,2200,2217(III),p1,,,,35 U.S.C. 303; 35 U.S.C. 302; ,,
MPEP,2200,2217(III),p2,,,,,,
MPEP,2200,2217(III),p3,,,,,,
MPEP,2200,2217(III),p4,,,,,,
MPEP,2200,2218,,,Copies of Prior Art [R-07.2015],,,,
MPEP,2200,2219,,,Copy of Printed Patent [R-07.2015],,,,
MPEP,2200,2220,,,Certificate of Service [R-07.2015],,,,
MPEP,2200,2221,,,Amendments Included in Request Filed under 35 U.S.C. 302 by Patent Owner [R-07.2015],,,,
